ASSET,MC,TNG,DCR,Energy,Date,Time
Battle River #4 (BR4),155,0,0,Coal,2021-03-20,12:34
Battle River #5 (BR5),385,0,0,Coal,2021-03-20,12:34
Genesee #1 (GN1),400,259,0,Coal,2021-03-20,12:34
Genesee #2 (GN2),400,202,0,Coal,2021-03-20,12:34
Genesee #3 (GN3),466,461,0,Coal,2021-03-20,12:34
Keephills #1 (KH1),395,198,67,Coal,2021-03-20,12:34
Keephills #2 (KH2),395,0,0,Coal,2021-03-20,12:34
Keephills #3 (KH3),463,0,0,Coal,2021-03-20,12:34
Sheerness #1 (SH1),400,0,0,Coal,2021-03-20,12:34
Sheerness #2 (SH2),400,137,0,Coal,2021-03-20,12:34
Sundance #4 (SD4),406,0,0,Coal,2021-03-20,12:34
Sundance #5 (SD5),406,0,0,Coal,2021-03-20,12:34
AB Newsprint (ANC1),63,0,0,Gas,2021-03-20,12:34
Bantry (ALP1),7,0,0,Gas,2021-03-20,12:34
Bellshill (BHL1),5,0,0,Gas,2021-03-20,12:34
Carson Creek (GEN5),15,8,0,Gas,2021-03-20,12:34
Cloverbar #1 (ENC1),48,0,0,Gas,2021-03-20,12:34
Cloverbar #2 (ENC2),101,0,0,Gas,2021-03-20,12:34
Cloverbar #3 (ENC3),101,0,0,Gas,2021-03-20,12:34
Crossfield Energy Centre #1 (CRS1),48,0,0,Gas,2021-03-20,12:34
Crossfield Energy Centre #2 (CRS2),48,0,0,Gas,2021-03-20,12:34
Crossfield Energy Centre #3 (CRS3),48,0,0,Gas,2021-03-20,12:34
Drywood (DRW1),6,0,0,Gas,2021-03-20,12:34
H.R. Milner (HRM),208,0,0,Gas,2021-03-20,12:34
Judy Creek (GEN6),15,0,0,Gas,2021-03-20,12:34
Lethbridge Burdett (ME03),7,0,6,Gas,2021-03-20,12:34
Lethbridge Coaldale (ME04),6,0,5,Gas,2021-03-20,12:34
Lethbridge Taber (ME02),8,0,6,Gas,2021-03-20,12:34
NPC1 Denis St. Pierre (NPC1),11,0,5,Gas,2021-03-20,12:34
NPC2 JL Landry (NPC2),9,0,0,Gas,2021-03-20,12:34
Northern Prairie Power Project (NPP1),105,0,0,Gas,2021-03-20,12:34
Parkland (ALP2),10,0,7,Gas,2021-03-20,12:34
Poplar Hill #1 (PH1),48,5,0,Gas,2021-03-20,12:34
Rainbow #5 (RB5),50,48,0,Gas,2021-03-20,12:34
Ralston (NAT1),20,0,17,Gas,2021-03-20,12:34
South Edmonton Terminal (SET1),20,0,0,Gas,2021-03-20,12:34
Sundance #6 (SD6) (Gas fired steam),401,347,0,Gas,2021-03-20,12:34
Valley View 1 (VVW1),50,0,0,Gas,2021-03-20,12:34
Valley View 2 (VVW2),50,29,15,Gas,2021-03-20,12:34
West Cadotte (WCD1),20,20,0,Gas,2021-03-20,12:34
West Pembina (PMB1)*,13,8,0,Gas,2021-03-20,12:34
Air Liquide Scotford #1 (ALS1),106,72,15,Gas,2021-03-20,12:34
AltaGas Harmattan (HMT1),45,39,0,Gas,2021-03-20,12:34
Base Plant (SCR1),50,33,0,Gas,2021-03-20,12:34
Bear Creek 1 (BCRK),64,57,0,Gas,2021-03-20,12:34
Bear Creek 2 (BCR2),36,29,0,Gas,2021-03-20,12:34
Blackfalds (BFD1),6,4,0,Gas,2021-03-20,12:34
CNRL Horizon (CNR5)*,203,189,0,Gas,2021-03-20,12:34
Camrose (CRG1)*,10,11,0,Gas,2021-03-20,12:34
Caroline (SHCG)*,19,0,0,Gas,2021-03-20,12:34
Carseland Cogen (TC01),95,75,0,Gas,2021-03-20,12:34
Christina Lake (CL01),100,82,0,Gas,2021-03-20,12:34
Coaldale (COD1),5,4,0,Gas,2021-03-20,12:34
Dow Hydrocarbon (DOWG),326,185,12,Gas,2021-03-20,12:34
Edson (TLM2),13,5,0,Gas,2021-03-20,12:34
Firebag (SCR6),497,413,20,Gas,2021-03-20,12:34
