PATH,ACTUAL FLOW,Date,Time
British Columbia,-586,2021-03-20,12:34
Montana,-225,2021-03-20,12:34
Saskatchewan,0,2021-03-20,12:34
TOTAL,-811,2021-03-20,12:34
﻿British Columbia,-590,2021-03-20,12:36
Montana,-224,2021-03-20,12:36
Saskatchewan,0,2021-03-20,12:36
TOTAL,-814,2021-03-20,12:36
﻿British Columbia,-567,2021-03-20,12:38
Montana,-228,2021-03-20,12:38
Saskatchewan,0,2021-03-20,12:38
TOTAL,-795,2021-03-20,12:38
﻿British Columbia,-561,2021-03-20,12:40
Montana,-213,2021-03-20,12:40
Saskatchewan,0,2021-03-20,12:40
TOTAL,-774,2021-03-20,12:40
﻿British Columbia,-569,2021-03-20,12:42
Montana,-224,2021-03-20,12:42
Saskatchewan,0,2021-03-20,12:42
TOTAL,-793,2021-03-20,12:42
﻿British Columbia,-595,2021-03-20,12:44
Montana,-229,2021-03-20,12:44
Saskatchewan,0,2021-03-20,12:44
TOTAL,-824,2021-03-20,12:44
﻿British Columbia,-578,2021-03-20,12:46
Montana,-223,2021-03-20,12:46
Saskatchewan,0,2021-03-20,12:46
TOTAL,-801,2021-03-20,12:46
﻿British Columbia,-575,2021-03-20,12:49
Montana,-223,2021-03-20,12:49
Saskatchewan,0,2021-03-20,12:49
TOTAL,-798,2021-03-20,12:49
﻿British Columbia,-583,2021-03-20,12:51
Montana,-219,2021-03-20,12:51
Saskatchewan,0,2021-03-20,12:51
TOTAL,-802,2021-03-20,12:51
﻿British Columbia,-571,2021-03-20,12:53
Montana,-213,2021-03-20,12:53
Saskatchewan,0,2021-03-20,12:53
TOTAL,-784,2021-03-20,12:53
﻿British Columbia,-548,2021-03-20,12:55
Montana,-211,2021-03-20,12:55
Saskatchewan,0,2021-03-20,12:55
TOTAL,-759,2021-03-20,12:55
﻿British Columbia,-561,2021-03-20,12:57
Montana,-219,2021-03-20,12:57
Saskatchewan,0,2021-03-20,12:57
TOTAL,-780,2021-03-20,12:57
﻿British Columbia,-568,2021-03-20,12:59
Montana,-218,2021-03-20,12:59
Saskatchewan,0,2021-03-20,12:59
TOTAL,-786,2021-03-20,12:59
﻿British Columbia,-585,2021-03-20,13:01
Montana,-227,2021-03-20,13:01
Saskatchewan,0,2021-03-20,13:01
TOTAL,-812,2021-03-20,13:01
﻿British Columbia,-615,2021-03-20,13:03
Montana,-235,2021-03-20,13:03
Saskatchewan,0,2021-03-20,13:03
TOTAL,-850,2021-03-20,13:03
﻿British Columbia,-582,2021-03-20,13:05
Montana,-222,2021-03-20,13:05
Saskatchewan,0,2021-03-20,13:05
TOTAL,-804,2021-03-20,13:05
﻿British Columbia,-558,2021-03-20,13:07
Montana,-220,2021-03-20,13:07
Saskatchewan,0,2021-03-20,13:07
TOTAL,-778,2021-03-20,13:07
﻿British Columbia,-553,2021-03-20,13:09
Montana,-227,2021-03-20,13:09
Saskatchewan,0,2021-03-20,13:09
TOTAL,-780,2021-03-20,13:09
