ASSET,Latitude,Longitude
Battle River #4 (BR4),52.47,-112.13
Battle River #5 (BR5),52.47,-112.13
Genesee #1 (GN1),53.34,-114.30
Genesee #2 (GN2),53.34,-114.30
Genesee #3 (GN3),53.34,-114.30
Keephills #1 (KH1),53.45,-114.45
Keephills #2 (KH2),53.45,-114.45
Keephills #3 (KH3),53.45,-114.45
Sheerness #1 (SH1),51.44,-111.79
Sheerness #2 (SH2),51.44,-111.79
Sundance #4 (SD4),51.44,-111.79
Sundance #5 (SD5),51.44,-111.79
AB Newsprint (ANC1),54.18,-115.81
Bantry (ALP1),,
Bellshill (BHL1),,
Carson Creek (GEN5),,
Cloverbar #1 (ENC1),53.59,-113.36
Cloverbar #2 (ENC2),53.59,-113.36
Cloverbar #3 (ENC3),53.59,-113.36
Crossfield Energy Centre #1 (CRS1),,
Crossfield Energy Centre #2 (CRS2),,
Crossfield Energy Centre #3 (CRS3),,
Drywood (DRW1),,
H.R. Milner (HRM),,
Judy Creek (GEN6),,
Lethbridge Burdett (ME03),,
Lethbridge Coaldale (ME04),,
Lethbridge Taber (ME02),,
NPC1 Denis St. Pierre (NPC1),,
NPC2 JL Landry (NPC2),,
Northern Prairie Power Project (NPP1),,
Parkland (ALP2),,
Poplar Hill #1 (PH1),,
Rainbow #5 (RB5),,
Ralston (NAT1),,
South Edmonton Terminal (SET1),,
Sundance #6 (SD6) (Gas fired steam),,
Valley View 1 (VVW1),,
Valley View 2 (VVW2),,
West Cadotte (WCD1),,
West Pembina (PMB1)*,,
Air Liquide Scotford #1 (ALS1),,
AltaGas Harmattan (HMT1),,
Base Plant (SCR1),,
Bear Creek 1 (BCRK),,
Bear Creek 2 (BCR2),,
Blackfalds (BFD1),,
CNRL Horizon (CNR5)*,,
Camrose (CRG1)*,,
Caroline (SHCG)*,,
Carseland Cogen (TC01),,
Christina Lake (CL01),,
Coaldale (COD1),,
Dow Hydrocarbon (DOWG),,
Edson (TLM2),,
Firebag (SCR6),,
Fort Hills (FH1),,
Foster Creek (EC04),,
Joffre #1 (JOF1),,
Kearl (IOR3),,
Lindbergh (PEC1)*,,
MEG1 Christina Lake (MEG1),,
MacKay River (MKRC),,
Mahkeses (IOR1),,
Mulligan (MUL1)*,,
Muskeg River (MKR1),,
Nabiye (IOR2)*,,
Nexen Inc #2 (NX02),,
Poplar Creek (SCR5),,
Primrose #1 (PR1),,
Rainbow Lake #1 (RL1),,
Redwater Cogen (TC02),,
Saddle Hills (SDH1),,
Scotford Upgrader (APS1),,
Strathcona (IOR4)*,,
Syncrude #1 (SCL1)*,,
U of C Generator (UOC1)*,,
University of Alberta (UOA1)*,,
Cavalier (EC01),,
ENMAX Calgary Energy Centre (CAL1),,
Fort Nelson (FNG1),,
Medicine Hat #1 (CMH1),,
Nexen Inc #1 (NX01),,
Shepard (EGC1),,
Bighorn Hydro (BIG),,
Bow River Hydro (BOW1),,
Brazeau Hydro (BRA),,
Chin Chute (CHIN),,
Dickson Dam (DKSN),,
Irrican Hydro (ICP1),,
Oldman River (OMRH),,
Raymond Reservoir (RYMD),,
Taylor Hydro (TAY1),,
Ardenville Wind (ARD1)*,,
BUL1 Bull Creek (BUL1)*,,
BUL2 Bull Creek (BUL2)*,,
Blackspring Ridge (BSR1)*,,
Blue Trail Wind (BTR1)*,,
Castle River #1 (CR1)*,,
Castle Rock Ridge 2 (CRR2)*,,
Castle Rock Wind Farm (CRR1)*,,
Cowley Ridge (CRE3)*,,
Enmax Taber (TAB1)*,,
Ghost Pine (NEP1)*,,
Halkirk Wind Power Facility (HAL1)*,,
Kettles Hill (KHW1)*,,
McBride Lake Windfarm (AKE1)*,,
Oldman 2 Wind Farm 1 (OWF1)*,,
Riverview (RIV1)*,,
Soderglen Wind  (GWW1)*,,
Summerview 1 (IEW1)*,,
Summerview 2 (IEW2)*,,
Suncor Chin Chute (SCR3)*,,
Suncor Magrath (SCR2)*,,
Whitla (WHT1)*,,
Wintering Hills (SCR4)*,,
APF Athabasca (AFG1)*,,
BRD1 Burdett (BRD1),,
BUR1 Burdett (BUR1),,
Brooks Solar (BSC1),,
Cancarb Medicine Hat (CCMH),,
Claresholm 1 (CLR1),,
Claresholm 2 (CLR2),,
DAI1 Daishowa (DAI1),,
Gold Creek Facility (GOC1),,
Grande Prairie EcoPower (GPEC),,
Hull (HUL1),,
Innisfail (INF1),,
NRGreen (NRG3),,
Slave Lake (SLP1)*,,
Suffield (SUF1),,
Summerview (SUM1),,
Vauxhall (VXH1),,
Weldwood #1 (WWD1)*,,
Westfield Yellow Lake (WEF1),,
Westlock (WST1)*,,
Weyerhaeuser (WEY1),,
Whitecourt Power (EAGL),,
eReserve1 Rycroft (ERV1),,
